,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
98,51,6526,6594,26940.9744,27798.82,43750.12560000003,0.031841669394110816,2023-09-30 04:30:00,2023-10-03 00:30:00,2 days 20:00:00
99,-1,6611,6624,27504.88,27310.43,194.45000000000073,0.0070696545485746665,2023-10-03 17:30:00,2023-10-04 06:30:00,0 days 13:00:00
100,-51,6594,6624,27743.22236,27310.43,22072.410359999973,0.015599931197033401,2023-10-03 00:30:00,2023-10-04 06:30:00,1 days 06:00:00
101,53,6624,6692,27365.05086,27977.59,32464.57442000004,0.022383994209759006,2023-10-04 06:30:00,2023-10-07 02:30:00,2 days 20:00:00
102,-53,6692,6737,27921.63482,27878.79,2270.775459999917,0.001534466741514362,2023-10-07 02:30:00,2023-10-08 23:30:00,1 days 21:00:00
103,53,6737,6989,27934.547580000002,28308.39,19813.648259999853,0.013382798448028366,2023-10-08 23:30:00,2023-10-19 11:30:00,10 days 12:00:00
104,-53,6989,7010,28251.77322,28980.0,-38596.01934000004,-0.025776321165018823,2023-10-19 11:30:00,2023-10-20 08:30:00,0 days 21:00:00
105,50,7010,7074,29037.96,29883.6,42281.99999999997,0.029121880462677163,2023-10-20 08:30:00,2023-10-23 00:30:00,2 days 16:00:00
106,-50,7074,7082,29823.8328,30378.22,-27719.36000000005,-0.01858873082201562,2023-10-23 00:30:00,2023-10-23 08:30:00,0 days 08:00:00
107,48,7082,7111,30438.976440000002,33999.98,170928.17088000005,0.11698828201464972,2023-10-23 08:30:00,2023-10-24 13:30:00,1 days 05:00:00
108,-1,7194,7217,33528.42876,34134.08,-605.6512399999992,-0.018063812185632466,2023-10-28 00:30:00,2023-10-28 23:30:00,0 days 23:00:00
109,-48,7111,7217,33931.98004,34134.08,-9700.798079999979,-0.005956032031191771,2023-10-24 13:30:00,2023-10-28 23:30:00,4 days 10:00:00
110,48,7217,7247,34202.34816,34525.88,15529.528319999808,0.009459345846270617,2023-10-28 23:30:00,2023-10-30 05:30:00,1 days 06:00:00
111,-48,7247,7260,34456.828239999995,34587.49,-6271.764480000129,-0.003792042584126243,2023-10-30 05:30:00,2023-10-30 18:30:00,0 days 13:00:00
112,47,7260,7400,34656.66498,35024.2,17274.1459399998,0.01060503139041491,2023-10-30 18:30:00,2023-11-05 14:30:00,5 days 20:00:00
113,-47,7400,7476,34954.1516,35391.09,-20536.104799999957,-0.012500329145451294,2023-11-05 14:30:00,2023-11-08 18:30:00,3 days 04:00:00
114,46,7476,7507,35461.87218,36382.21,42335.53972000003,0.025952883009912275,2023-11-08 18:30:00,2023-11-10 01:30:00,1 days 07:00:00
115,-46,7507,7701,36309.44558,36396.38,-3998.9833199998975,-0.0023942645945518315,2023-11-10 01:30:00,2023-11-18 03:30:00,8 days 02:00:00
116,46,7701,7772,36469.172759999994,37548.68,49657.33304000029,0.029600540903522488,2023-11-18 03:30:00,2023-11-21 02:30:00,2 days 23:00:00
117,-46,7772,7835,37473.58264,37370.0,4764.801440000025,0.0027641509752375226,2023-11-21 02:30:00,2023-11-23 17:30:00,2 days 15:00:00
118,46,7835,7868,37444.74,37827.57,17610.18000000008,0.010223865888773664,2023-11-23 17:30:00,2023-11-25 02:30:00,1 days 09:00:00
119,-3,7934,7940,36734.374019999996,36800.01,-196.90794000001915,-0.0017867727911811127,2023-11-27 20:30:00,2023-11-28 02:30:00,0 days 06:00:00
120,-46,7868,7940,37751.91486,36800.01,43787.623559999774,0.025214743769423564,2023-11-25 02:30:00,2023-11-28 02:30:00,3 days 00:00:00
121,48,7940,8049,36873.61002,38776.54,91340.63904000004,0.0516068261005056,2023-11-28 02:30:00,2023-12-02 15:30:00,4 days 13:00:00
122,-48,8049,8541,38698.98692,43706.25,-240348.62783999986,-0.1293900300375097,2023-12-02 15:30:00,2023-12-23 03:30:00,20 days 12:00:00
123,37,8541,8669,43793.6625,43222.0,-21151.512499999946,-0.013053543991667693,2023-12-23 03:30:00,2023-12-28 11:30:00,5 days 08:00:00
124,-37,8669,8694,43135.556,42531.12,22364.131999999787,0.014012477316856509,2023-12-28 11:30:00,2023-12-29 12:30:00,1 days 01:00:00
125,38,8694,8707,42616.18224,42116.51,-18987.545119999995,-0.011724941412771694,2023-12-29 12:30:00,2023-12-30 01:30:00,0 days 13:00:00
126,-38,8707,8743,42032.27698,42537.1,-19183.274759999855,-0.012010365753923002,2023-12-30 01:30:00,2023-12-31 13:30:00,1 days 12:00:00
127,37,8743,8870,42622.1742,43488.21,32043.32459999992,0.02031890245523882,2023-12-31 13:30:00,2024-01-05 20:30:00,5 days 07:00:00
128,-38,8870,8914,43401.23358,43960.0,-21233.123959999997,-0.012874436367575681,2024-01-05 20:30:00,2024-01-07 16:30:00,1 days 20:00:00
129,36,8914,9003,44047.92,46502.17,88353.0,0.055717727420500296,2024-01-07 16:30:00,2024-01-11 09:30:00,3 days 17:00:00
130,-37,9003,9081,46409.16566,43052.41,124199.95941999982,0.0723295843022056,2024-01-11 09:30:00,2024-01-14 15:30:00,3 days 06:00:00
131,42,9081,9266,43138.514820000004,41317.97,-76462.88244000012,-0.04220230639827116,2024-01-14 15:30:00,2024-01-22 08:30:00,7 days 17:00:00
132,-42,9266,9346,41235.33406,40116.0,47012.030520000044,0.027145022236786054,2024-01-22 08:30:00,2024-01-25 16:30:00,3 days 08:00:00
133,45,9346,9352,40196.232,39710.33,-21865.590000000084,-0.012088247475534608,2024-01-25 16:30:00,2024-01-25 22:30:00,0 days 06:00:00
134,-45,9352,9372,39630.90934,41140.01,-67909.52970000016,-0.038078880478193966,2024-01-25 22:30:00,2024-01-26 18:30:00,0 days 20:00:00
135,41,9372,9472,41222.29002,43499.03,93346.33917999994,0.05523079816515253,2024-01-26 18:30:00,2024-01-30 22:30:00,4 days 04:00:00
136,-1,9481,9502,42697.24438,42656.07,41.174379999996745,0.0009643334270836856,2024-01-31 07:30:00,2024-02-01 04:30:00,0 days 21:00:00
137,-41,9472,9502,43412.03194,42656.07,30994.439540000043,0.01741365023053565,2024-01-30 22:30:00,2024-02-01 04:30:00,1 days 06:00:00
